OurSubjID,SubjID,ScanSession,Cortical depth,Layer,fearfulBeta,FearfulT,happyBeta,HappyT,NeutralBeta,NeutralT,Beta(F-N),t(F-N),Beta((H-N),t(H-N)
s0063,2,1,17,superficial,0.0365056,16.2910,0.0354450,15.8677,0.0324220,14.5022,0.0040836,1.327165,0.003023,0.985595
s0063,2,1,18,superficial,0.0342647,13.4013,0.0330571,12.9699,0.0299877,11.7558,0.0042770,1.218253,0.003069,0.877064
s0063,2,1,19,superficial,0.0334157,13.0737,0.0323512,12.6973,0.0286882,11.2502,0.0047275,1.347005,0.003663,1.047004
s0063,2,1,20,superficial,0.0316434,11.6774,0.0303323,11.2290,0.0268810,9.9430,0.0047624,1.279920,0.003451,0.930510
s0063,2,1,21,superficial,0.0277085,10.9612,0.0266445,10.5736,0.0224588,8.9051,0.0052497,1.512401,0.004186,1.209697
s0063,2,2,1,deep,0.0126449,15.3714,0.0158482,19.2141,0.0154969,18.8277,-0.0028520,-2.564040,0.000351,0.314736
s0063,2,2,2,deep,0.0144008,17.1541,0.0176660,20.9875,0.0177278,21.1052,-0.0033270,-2.930898,-0.000062,-0.054247
s0063,2,2,3,deep,0.0162437,18.6231,0.0192407,22.0004,0.0194119,22.2428,-0.0031682,-2.686269,-0.000171,-0.144689
s0063,2,2,4,deep,0.0184045,19.8879,0.0211982,22.8459,0.0214689,23.1859,-0.0030644,-2.448953,-0.000271,-0.215537
s0063,2,2,5,deep,0.0210697,21.8101,0.0246055,25.4021,0.0244348,25.2789,-0.0033651,-2.576151,0.000171,0.130174
s0063,2,2,6,deep,0.0250729,25.7445,0.0289514,29.6475,0.0283854,29.1290,-0.0033125,-2.515374,0.000566,0.428296
s0063,2,2,7,deep,0.0261142,25.5861,0.0305039,29.8072,0.0294450,28.8328,-0.0033308,-2.413478,0.001059,0.764565
s0063,2,2,8,middle,0.0290427,26.9177,0.0334917,30.9584,0.0320708,29.7073,-0.0030281,-2.075569,0.001421,0.970576
s0063,2,2,9,middle,0.0321818,29.7282,0.0366783,33.7914,0.0346680,32.0063,-0.0024862,-1.698509,0.002010,1.368567
s0063,2,2,10,middle,0.0355296,31.4345,0.0389343,34.3549,0.0372075,32.9002,-0.0016779,-1.097899,0.001727,1.125914
s0063,2,2,11,middle,0.0381727,31.9931,0.0405681,33.9100,0.0387518,32.4599,-0.0005791,-0.358931,0.001816,1.121873
s0063,2,2,12,middle,0.0401919,31.9566,0.0426365,33.8099,0.0394711,31.3655,0.0007208,0.423864,0.003165,1.854860
s0063,2,2,13,middle,0.0406000,31.2999,0.0426749,32.8117,0.0393874,30.3477,0.0012126,0.691353,0.003288,1.867829
