SubjID,ROI,Condition,Y
S11 (3T),VO,Happy,-0.1212
S11 (3T),TO,Happy,0.6273
S11 (3T),PHC,Happy,-0.1978
S11 (3T),IPS0,Happy,0.4305
S11 (3T),IPS1-5,Happy,0.6755
S11 (3T),SPL,Happy,0.3036
S11 (3T),FEF,Happy,1.231
S11 (3T),AMG,Happy,0.3336
S11 (3T),FFA,Happy,1.5475
S11 (3T),V1,Neutral,-0.2307
S11 (3T),V2,Neutral,-0.3036
S11 (3T),V3,Neutral,0.0648
S11 (3T),V3AB,Neutral,-0.4845
S11 (3T),hV4,Neutral,0.5598
S11 (3T),LO,Neutral,0.4572
S11 (3T),VO,Neutral,-0.2065
S11 (3T),TO,Neutral,0.4361
S11 (3T),PHC,Neutral,-0.2704
S11 (3T),IPS0,Neutral,0.2925
S11 (3T),IPS1-5,Neutral,0.4348
S11 (3T),SPL,Neutral,-0.0828
S11 (3T),FEF,Neutral,0.9564
S11 (3T),AMG,Neutral,0.2541
S11 (3T),FFA,Neutral,1.4041
S12 (7T),V1,Fear,0.926
S12 (7T),V2,Fear,0.658
S12 (7T),V3,Fear,2.403
S12 (7T),V3AB,Fear,0.677
S12 (7T),hV4,Fear,1.962
S12 (7T),LO,Fear,1.682
S12 (7T),VO,Fear,0.217
S12 (7T),TO,Fear,1.338
S12 (7T),PHC,Fear,0.014
S12 (7T),IPS0,Fear,0.376
S12 (7T),IPS1-5,Fear,NaN
S12 (7T),SPL,Fear,NaN
S12 (7T),FEF,Fear,NaN
S12 (7T),AMG,Fear,0.5017
S12 (7T),FFA,Fear,4.2104
S12 (7T),V1,Happy,1.161
S12 (7T),V2,Happy,0.931
S12 (7T),V3,Happy,2.522
S12 (7T),V3AB,Happy,0.803
S12 (7T),hV4,Happy,1.895
S12 (7T),LO,Happy,1.714
S12 (7T),VO,Happy,0.3
S12 (7T),TO,Happy,1.264
S12 (7T),PHC,Happy,0.113
S12 (7T),IPS0,Happy,0.444
S12 (7T),IPS1-5,Happy,NaN
S12 (7T),SPL,Happy,NaN
S12 (7T),FEF,Happy,NaN
S12 (7T),AMG,Happy,0.2269
S12 (7T),FFA,Happy,4.1421
S12 (7T),V1,Neutral,0.703
S12 (7T),V2,Neutral,0.535
S12 (7T),V3,Neutral,2.026
S12 (7T),V3AB,Neutral,0.442
S12 (7T),hV4,Neutral,1.371
S12 (7T),LO,Neutral,1.413
S12 (7T),VO,Neutral,0.042
S12 (7T),TO,Neutral,1.032
S12 (7T),PHC,Neutral,-0.104
S12 (7T),IPS0,Neutral,0.145
S12 (7T),IPS1-5,Neutral,NaN
S12 (7T),SPL,Neutral,NaN
S12 (7T),FEF,Neutral,NaN
S12 (7T),AMG,Neutral,0.1438
S12 (7T),FFA,Neutral,3.2297
S13 (3T),V1,Fear,0.5587
S13 (3T),V2,Fear,0.2743
S13 (3T),V3,Fear,0.8037
S13 (3T),V3AB,Fear,0.0345
S13 (3T),hV4,Fear,0.4035
S13 (3T),LO,Fear,0.8559
S13 (3T),VO,Fear,-0.0983
S13 (3T),TO,Fear,0.603
S13 (3T),PHC,Fear,-0.0724
S13 (3T),IPS0,Fear,0.4598
S13 (3T),IPS1-5,Fear,0.6462
S13 (3T),SPL,Fear,0.7515
S13 (3T),FEF,Fear,0.7515
S13 (3T),AMG,Fear,0.6684
S13 (3T),FFA,Fear,1.5382
S13 (3T),V1,Happy,0.5239
S13 (3T),V2,Happy,0.2742
S13 (3T),V3,Happy,0.724
S13 (3T),V3AB,Happy,0.1033
S13 (3T),hV4,Happy,0.4166
S13 (3T),LO,Happy,0.8083
S13 (3T),VO,Happy,0.0043
S13 (3T),TO,Happy,0.5653
S13 (3T),PHC,Happy,0.0017
S13 (3T),IPS0,Happy,0.4694
S13 (3T),IPS1-5,Happy,0.697
S13 (3T),SPL,Happy,0.8203
S13 (3T),FEF,Happy,0.8203
S13 (3T),AMG,Happy,0.4471
S13 (3T),FFA,Happy,1.5256
S13 (3T),V1,Neutral,0.41
S13 (3T),V2,Neutral,0.1784
S13 (3T),V3,Neutral,0.608
S13 (3T),V3AB,Neutral,-0.0331
S13 (3T),hV4,Neutral,0.2387
S13 (3T),LO,Neutral,0.6968
S13 (3T),VO,Neutral,-0.2056
S13 (3T),TO,Neutral,0.4532
S13 (3T),PHC,Neutral,-0.1383
S13 (3T),IPS0,Neutral,0.3276
S13 (3T),IPS1-5,Neutral,0.4049
S13 (3T),SPL,Neutral,0.7521
S13 (3T),FEF,Neutral,0.7521
S13 (3T),AMG,Neutral,0.0893
S13 (3T),FFA,Neutral,1.21
S14 (3T),V1,Fear,-0.15
S14 (3T),V2,Fear,-0.2457
S14 (3T),V3,Fear,0.0048
S14 (3T),V3AB,Fear,-0.6405
S14 (3T),hV4,Fear,0.459
S14 (3T),LO,Fear,0.6153
S14 (3T),VO,Fear,-0.4889
S14 (3T),TO,Fear,0.3101
S14 (3T),PHC,Fear,-0.6187
S14 (3T),IPS0,Fear,0.0291
S14 (3T),IPS1-5,Fear,-0.1438
S14 (3T),SPL,Fear,-0.745
S14 (3T),FEF,Fear,0.7108
S14 (3T),AMG,Fear,0.28
S14 (3T),FFA,Fear,1.0926
S14 (3T),V1,Happy,-0.1259
S14 (3T),V2,Happy,-0.1178
S14 (3T),V3,Happy,0.1059
S14 (3T),V3AB,Happy,-0.5551
S14 (3T),hV4,Happy,0.4816
S14 (3T),LO,Happy,0.6506
S14 (3T),VO,Happy,-0.4332
S14 (3T),TO,Happy,0.306
S14 (3T),PHC,Happy,-0.5245
S14 (3T),IPS0,Happy,0.0067
S14 (3T),IPS1-5,Happy,-0.1838
S14 (3T),SPL,Happy,-0.8264
S14 (3T),FEF,Happy,0.5796
S14 (3T),AMG,Happy,0.143
S14 (3T),FFA,Happy,1.0072
S14 (3T),V1,Neutral,-0.1806
S14 (3T),V2,Neutral,-0.2772
S14 (3T),V3,Neutral,-0.047
S14 (3T),V3AB,Neutral,-0.6884
S14 (3T),hV4,Neutral,0.3669
S14 (3T),LO,Neutral,0.5267
S14 (3T),VO,Neutral,-0.5771
S14 (3T),TO,Neutral,0.2024
S14 (3T),PHC,Neutral,-0.6519
S14 (3T),IPS0,Neutral,-0.0105
S14 (3T),IPS1-5,Neutral,-0.209
S14 (3T),SPL,Neutral,-0.8439
S14 (3T),FEF,Neutral,0.6632
S14 (3T),AMG,Neutral,0.232
S14 (3T),FFA,Neutral,0.981
S15 (7T & 3T),V1,Fear,1.159
S15 (7T & 3T),V2,Fear,0.3765
S15 (7T & 3T),V3,Fear,0.705
S15 (7T & 3T),V3AB,Fear,0.506
S15 (7T & 3T),hV4,Fear,1.78
S15 (7T & 3T),LO,Fear,0.5895
S15 (7T & 3T),VO,Fear,0.6695
S15 (7T & 3T),TO,Fear,0.119
S15 (7T & 3T),PHC,Fear,-0.096
S15 (7T & 3T),IPS0,Fear,0.0955
S15 (7T & 3T),IPS1-5,Fear,-0.1945
S15 (7T & 3T),SPL,Fear,0.138
S15 (7T & 3T),FEF,Fear,1.7745
S15 (7T & 3T),AMG,Fear,0.5538
S15 (7T & 3T),FFA,Fear,2.333
S15 (7T & 3T),V1,Happy,1.093
S15 (7T & 3T),V2,Happy,0.401
S15 (7T & 3T),V3,Happy,0.7875
S15 (7T & 3T),V3AB,Happy,0.4805
S15 (7T & 3T),hV4,Happy,1.7655
S15 (7T & 3T),LO,Happy,0.7225
S15 (7T & 3T),VO,Happy,0.653
S15 (7T & 3T),TO,Happy,0.2195
S15 (7T & 3T),PHC,Happy,-0.1105
S15 (7T & 3T),IPS0,Happy,0.0145
S15 (7T & 3T),IPS1-5,Happy,-0.512
S15 (7T & 3T),SPL,Happy,0.128
S15 (7T & 3T),FEF,Happy,1.6945
S15 (7T & 3T),AMG,Happy,0.5543
S15 (7T & 3T),FFA,Happy,2.3025
S15 (7T & 3T),V1,Neutral,1.025
S15 (7T & 3T),V2,Neutral,0.245
S15 (7T & 3T),V3,Neutral,0.6025
S15 (7T & 3T),V3AB,Neutral,0.422
S15 (7T & 3T),hV4,Neutral,1.5865
S15 (7T & 3T),LO,Neutral,0.585
S15 (7T & 3T),VO,Neutral,0.51
S15 (7T & 3T),TO,Neutral,0.006
S15 (7T & 3T),PHC,Neutral,-0.231
S15 (7T & 3T),IPS0,Neutral,0.0655
S15 (7T & 3T),IPS1-5,Neutral,-0.3975
S15 (7T & 3T),SPL,Neutral,0.175
S15 (7T & 3T),FEF,Neutral,1.782
S15 (7T & 3T),AMG,Neutral,0.3272
S15 (7T & 3T),FFA,Neutral,2.135
S16 (7T),V1,Fear,3.552
S16 (7T),V2,Fear,1.82
S16 (7T),V3,Fear,3.221
S16 (7T),V3AB,Fear,1.48
S16 (7T),hV4,Fear,3.586
S16 (7T),LO,Fear,1.606
S16 (7T),VO,Fear,1.16
S16 (7T),TO,Fear,NaN
S16 (7T),PHC,Fear,-0.193
S16 (7T),IPS0,Fear,1.051
S16 (7T),IPS1-5,Fear,NaN
S16 (7T),SPL,Fear,NaN
S16 (7T),FEF,Fear,NaN
S16 (7T),AMG,Fear,1.273
S16 (7T),FFA,Fear,3.771
S16 (7T),V1,Happy,3.843
S16 (7T),V2,Happy,1.618
S16 (7T),V3,Happy,3.124
S16 (7T),V3AB,Happy,1.367
S16 (7T),hV4,Happy,3.386
S16 (7T),LO,Happy,1.541
S16 (7T),VO,Happy,0.754
S16 (7T),TO,Happy,NaN
S16 (7T),PHC,Happy,-1.019
S16 (7T),IPS0,Happy,0.851
S16 (7T),IPS1-5,Happy,NaN
S16 (7T),SPL,Happy,NaN
S16 (7T),FEF,Happy,NaN
S16 (7T),AMG,Happy,0.9342
S16 (7T),FFA,Happy,3.7765
S16 (7T),V1,Neutral,3.393
S16 (7T),V2,Neutral,1.353
S16 (7T),V3,Neutral,2.851
S16 (7T),V3AB,Neutral,1.382
S16 (7T),hV4,Neutral,3.161
S16 (7T),LO,Neutral,1.467
S16 (7T),VO,Neutral,0.71
S16 (7T),TO,Neutral,NaN
S16 (7T),PHC,Neutral,-0.861
S16 (7T),IPS0,Neutral,0.78
